description,prerequisites,number,credits,department,name
,,6820,(1-3),ACCT,) Graduate Seminar
"Prior department consent required of instructor under whose direction study is taken. Departmental form required. Requisites: Restricted to Accounting, Finance/Accounting, Information Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Administration (BUAD) graduate students only.","Requisites: Restricted to Accounting, Finance/Accounting, Information Systems/Accounting, Systems/Accounting Concurrent Degree students or Accounting, Accounting/Taxation or Business Administration (BUAD) graduate students only.",6900,(1-6),ACCT,) Independent Study
Departmental form required.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,6940,(1),ACCT,) Master's Degree Candidacy
Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,6950,(1-4),ACCT,) Master's Thesis
Discusses the nature of scientific investigation and how accounting theory relates to theories in economics and finance. Introduces students to major areas of accounting research and research methods. Provides students with instruction and experience in evaluating and critiquing research papers as well as generating original and viable research ideas. Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,7300,(3),ACCT,) Doctoral Seminar: Introduction to Accounting Research
Focuses on research evaluating the usefulness of accounting information for valuing equity securities. The seminar builds a foundation for conducting accounting-related capital markets research. Requisites: Restricted to Business (BUSN) graduate students only.,Requisites: Restricted to Business (BUSN) graduate students only.,7320,(3),ACCT,) Doctoral Seminar: Accounting and Capital Markets I
"Focuses on how managers strategically communicate with capital market participants (e.g., investors and equity analysts). Students develop an understanding of how information enhances the efficiency of stock markets, why managers voluntarily disclose information, and how market participants react to strategic disclosure. Requisites: Restricted to Business (BUSN) graduate students only.",Requisites: Restricted to Business (BUSN) graduate students only.,7330,(3),ACCT,) Doctoral Seminar: Accounting and Capital Markets 2
"Survey of managerial accounting research, emphasizing a variety of methodologies including economics-based archival empirical and experimental approaches. Topics include: management performance measurement; management incentives; non-financial performance measures; management control systems; cost behavior and cost structure; intra-firm transfer pricing; inter-firm relations and knowledge sharing; risk preferences; risk taking and risk sharing; strategic performance measurement; agency theory; and budgetary slack and performance. Requisites: Requires prerequsite course of ACCT 6710 (minimum grade D-).  Restricted to graduate students only.",Requisites: Requires prerequsite course of ACCT 6710 (minimum grade D-).  Restricted to graduate students only.,7340,(3),ACCT,) Doctoral Seminar: Managerial Accounting Research
"Follows the evolution of game-theoretical analytical research and application of analytical methods to topics including: accounting-based valuation, discretionary disclosure, stewardship role of accounting, insider trading and imperfect capital market models, signaling through accounting choice, deferred tax accounting, audit sampling, auditor rotation, and low balling. Describes implications of analytical results for primarily economics-based empirical research designs. Requisites: Restricted to Business (BUSN) graduate students only.",Requisites: Restricted to Business (BUSN) graduate students only.,7800,(3),ACCT,) Doctoral Seminar: Accounting Theory
,,7830,(3),ACCT,) Doctoral Seminar: Accounting Research
