id,department,number,credits,name,prerequisites,description
1,CSCI,4113,(3),) Unix System Administration,Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-).,"Introduces UNIX (Linux) system administration and related topics, including trouble-shooting system and network problems, hardware and software configuration and installation, basic scripting, and security aspects of Internet hosts. Students build a Linux server from the ground up, using provided computing resources, and must maintain and secure the server themselves.  Recommended prereq., CSCI 3308. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-)."
2,CSCI,4229,(3),) Computer Graphics,Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-).,"Studies design, analysis, and implementation of computer graphics techniques. Topics include interactive techniques, 2D and 3D viewing, clipping, segmentation, translation, rotation, and projection. Also involves removal of hidden edges, shading, and color.  Knowledge of basic linear algebra is required.  Same as CSCI 5229. Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-)."
3,CSCI,4239,(3),) Advanced Computer Graphics,Requisites: Requires prerequisite course of CSCI 4229 (minimum grade C-).,"Studies design, analysis and implementation of advanced computer graphics techniques. Topics include shaders, using the GPU for high performance computing, graphics programming on embedded devices such as mobile phones; advanced graphics techniques such as ray tracing. Same as CSCI 5239. Requisites: Requires prerequisite course of CSCI 4229 (minimum grade C-)."
4,CSCI,4900,(1-3),") Upper Division, Undergraduate Level Independent Study",Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).,Provides opportunities for independent study at the upper-division undergraduate level. Students work on a small research problem or tutor lower-division computer science students. Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).
5,CSCI,1000,(1),) Computer Science as a Field of Work and Study,"Requisites: Restricted to students with 0-26 credits (Freshmen) Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA or CSCI-ADL) majors only.","Introduces curriculum, learning techniques, time management and career opportunities in Computer Science. Includes presentations from alumni and others with relevant educational and professional experience.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Requisites: Restricted to students with 0-26 credits (Freshmen) Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA or CSCI-ADL) majors only."
6,CSCI,6402,(3),) Issues and Methods in Cognitive Science,Requisites: Restricted to graduate students only.,"Interdisciplinary introduction to cognitive science, examining ideas from cognitive psychology, philosophy, education, and linguistics via computational modeling and psychological experimentation. Includes philosophy of mind; learning; categorization; vision and mental imagery; consciousness; problem solving; decision making, and game-theory; language processing; connectionism. Department enforced prereqs., graduate standing or at least one course at the 3000-level or higher in Computer Science, Linguistics, Philosophy or Psychology. No background in Computer Science will be presumed. Same as EDUC 6504, LING 6200, PHIL 6310, and PSYC 6200. Requisites: Restricted to graduate students only."
7,CSCI,4250,(3),) Computer Science: the Canon,Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,"Explores the ""great works"" of computer science through intensive reading and discussion. Readings include works by Babbage, Turing, Von Neumann, Goedel, Shannon and Minsky, among others. Same as CSCI 5250. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors)."
8,CSCI,4253,(3),") Datacenter Scale Computing - Methods, Systems and Techniques",Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C). Restricted to students with 57-180 credits (Juniors or Seniors).,"Covers the primary problem solving strategies, methods and tools needed for data-intensive programs using large collections of computers typically called ""warehouse scale"" or ""data-center scale"" computers. The course examines methods and algorithms for processing data-intensive applications, methods for deploying and managing large collections of computers in an on-demand infrastructure and issues of large-scale computer system design. Recommended prerequisite: CSCI 4273/5273. Same as CSCI 5253. Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C). Restricted to students with 57-180 credits (Juniors or Seniors)."
9,CSCI,4950,(2-4),) Senior Thesis,"Requisites: Requires a prerequisite or corequisite course of CSCI 3100 (minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior).","Provides an opportunity for senior computer science majors to conduct exploratory research in computer science. Department enforced restriction, successful completion of a minimum of 36 credit hours of Computer Science coursework and WRTG 3030. May be repeated up to 8 total credit hours. Requisites: Requires a prerequisite or corequisite course of CSCI 3100 (minimum grade C-). Restricted to students with 87-180 credits (Senior, Fifth Year Senior)."
10,CSCI,4960,(2-4),) Computer Science Honors Thesis,"Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior).","Provides an opportunity for senior Computer Science majors to complete an honors thesis by conducting exploratory research in computer science. Department enforced requisites: successful completion of a minimum of 36 credit hours of Computer Science Foundation, Track Foundation, Track Core and Computer Science electives and a writing requirement. May be repeated up to 8 total credit hours. Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior)."
